FullPath,FamilyName,FileHashes
C:\users\user\Downloads\browsinghistoryview-x64\BrowsingHistoryView.exe,Akira,"{""md5"":""176b7a50bbcbc34acedb46561a04c3d0"",""sha1"":""38a29d7b1345d3221a550b5b5909436a451a53ca"",""sha256"":""c5bcfd00d0b8fda7c4b20cdc9649713d9f01dd12f61ce8ee9c45ec424a6bbdf2""}"
C:\users\user\Downloads\ffac328pcl6210220w636ien.exe,Akira,"{""md5"":""6bd77f8c8495bea141e58d6e5bfaae11"",""sha1"":""f4c98284de41f90e0b5f730452521006e2c50aac"",""sha256"":""e8b206bb7148e5cb02d8ec5652715dbd73bc064ec6c9df2e75bc39cd07b2d56f""}"
C:\users\user\Desktop\EnableRemoteMailboxCommand.txt.akira,Akira,"{""md5"":""a23bd7947bd29f36583f60cef4e25537"",""sha1"":""8de9117beeca761518eff314b43f1a35949f70f3"",""sha256"":""41952b775351035616ca8e8b6e4bd0ed2216e23ebb3f180b552212286eb89a32""}"
C:\users\user\Downloads\dst1414ap.exe,Akira,"{""md5"":""a9107bd317d951bbcc8abdfd607019d6"",""sha1"":""cf86a82cd836ecf00cd95fd3ab0d7545da62ef67"",""sha256"":""64c88e8dedc5b19bdb8566bb8e43a3521a85731dad802af7f55ce534cd40d3f0""}"
C:\Windows\temp\adrecon.ps1,Babuk Locker,"{""md5"":""304ee11386f601ec921fa8d1d5343306"",""sha1"":""c726d2557dbec2c099dfe0516db44c87b679ccf1"",""sha256"":""1fdbe938098b885b20d5cea91fbd8c89c4b78ab873c608813df0a96ad98a74d8""}"
C:\Windows\host.exe,BlackByte,"{""md5"":""127059f0153e28d12608ff9395490f4a"",""sha1"":""ed07ce49fcaca6271efc2dc50deeab5d4611e6c0"",""sha256"":""8cca9f79b0a3090662a1ada1a247ac8343d69afb75c2bb3ff12992fcdca24367""}"
C:\Windows\host.exe,BlackByte,"{""md5"":""782f6f92759dd8e45b8a0074e9ee4d26"",""sha1"":""1d5a9afdfb40eeb923a80bef7d72d0627010591a"",""sha256"":""8ac0ac0e005cc8b08a050fd27636a9edbb2d21e14e7b1eb8ddd5f49d7f2a75cc""}"
C:\users\user\Desktop\kill.bat,BlackSuit,"{""md5"":""1a057a7c5c511cff88396f4c61bef726"",""sha1"":""450a62f90dee6e8f7ca3eced09d2f15aaf859d8c"",""sha256"":""566ba8ad93d36d45194d6265bc478fb79f48aac9c790257563e849218bf71cae""}"
C:\users\user\AppData\Local\temp\procexp64.exe,BlackSuit,"{""md5"":""dfeea73e421c76deb18d5ca0800dccf2"",""sha1"":""0497eba0b24d0f4500faad5ae96dbebab9c64608"",""sha256"":""8158dc0569972c10056f507cf9e72f4946600ce163c4c659a610480585cd4935""}"
C:\users\user\Downloads\Everything-1.4.1.1026.x86-Setup.exe,Cactus,"{""md5"":""f81112d40609b97330688098222ef1fb"",""sha1"":""092f5b3f4f7b437923e4cbaf2dd12a6d793a32b0"",""sha256"":""bbf249ab7d4ea4b17a56d2effcd0df563bf4d5cd4f6e00ebf5e74a74ca0034e2""}"
C:\Windows\vmtools.exe,Cicada3301,"{""md5"":""04ddf93bc7eb4b8a64c1b24dc88481cc"",""sha1"":""32d22b0d96949287c52d5a8d28b6efb19ce72cef"",""sha256"":""4484acf792403c6ec70b31834b4b5c964a699fc15ad7ec9fb868f02421c4415e""}"
C:\users\user\AppData\Roaming\scthost,Cicada3301,"{""md5"":""3598bcc9320615881e7068f4adf14fbf"",""sha1"":""ff9c089e1d01fea8593f734809896190ae527ae9"",""sha256"":""f5498233c68f094ecc91365fc75aa05c7c1615809b8d28814c18e21463268a18""}"
C:\users\user\AppData\Roaming\scthost,Cicada3301,"{""md5"":""36217cd4216b22dd76f1ad4a9a38a56a"",""sha1"":""be4349892fa29370c8012b188054b9a16b7ce141"",""sha256"":""a8dd15a43951a3ecee4ea24653f486b05cf988a2928ca4b70a0284c39f446d3a""}"
C:\Windows\temp\lJkacz,Cicada3301,"{""md5"":""aae7f81806776384d7d5741b462bd525"",""sha1"":""a952bf057fd25fae878c1c17a98abc437a8d5749"",""sha256"":""beea4084e819200eac4d9d0aab657a4cbb9e9320314da94b9bd3cf13bf4a0ab0""}"
C:\Windows\temp\YsBjCo,Cicada3301,"{""md5"":""aae7f81806776384d7d5741b462bd525"",""sha1"":""a952bf057fd25fae878c1c17a98abc437a8d5749"",""sha256"":""beea4084e819200eac4d9d0aab657a4cbb9e9320314da94b9bd3cf13bf4a0ab0""}"
C:\users\user\Desktop\TreeSize-x64-Full.exe,Cicada3301,"{""md5"":""bbe78f3a00555002e6190325279d5542"",""sha1"":""f796bde0d483efdcb5e2f5ffb08f4e0e4a523b91"",""sha256"":""de3291e905d62e5869a0db81ed669a97379c653fa97dddb28ba3a02762dcd0e6""}"
C:\Windows\fxsvc.exe,EMBARGO,"{""md5"":""101e4fa9a8b3de2c087fa7264d917be7"",""sha1"":""c0a0248bf14756e9f57393cd0ea5fa1faa2ae1e1"",""sha256"":""3e0b8d5c5906a6ad8151b6701e1fb9047831ae6002a9078f06c7979583a08133""}"
C:\Windows\praxisbackup.exe,EMBARGO,"{""md5"":""1d55cb28bfc4d7be906e8ddf9543cbb4"",""sha1"":""70b4d7bfe7889478b0961f812a6060d343343ef3"",""sha256"":""b50071ce87c9f52e7e4c67e4a8ac4cd53aaa327782222892f838f6445e8fd332""}"
C:\Windows\win32.exe,EMBARGO,"{""md5"":""1fe609f8354b3f8e86787df1492822fa"",""sha1"":""3fba362110bebe1ac10e09ecdec510eaa0857951"",""sha256"":""ca76062def8c48c9a610e113b569c1a7dea9cbf2ba3816d487a466ab9c489e87""}"
C:\Windows\win64.exe,EMBARGO,"{""md5"":""1fe609f8354b3f8e86787df1492822fa"",""sha1"":""3fba362110bebe1ac10e09ecdec510eaa0857951"",""sha256"":""ca76062def8c48c9a610e113b569c1a7dea9cbf2ba3816d487a466ab9c489e87""}"
C:\Windows\acronisd.exe,EMBARGO,"{""md5"":""46fb28625acd8ecee67bda5cc3957f51"",""sha1"":""1eafe1c595422d9ebaf3a62e1268927af5cf319b"",""sha256"":""0705de373b126e27bd8d22ca61dc1a234909a9387991f3cbfd9e49e772c67d0d""}"
C:\Windows\def1.bat,EMBARGO,"{""md5"":""a0ee6fea27e7e903232489dab93cd989"",""sha1"":""f27073a0c52f3860e400428df4bdfb2849b5d12f"",""sha256"":""821f084b72578a2c82c9c9812580974d07f414c1fc4ee83fc2f725fa324d5ee1""}"
C:\Windows\def2.bat,EMBARGO,"{""md5"":""a0ee6fea27e7e903232489dab93cd989"",""sha1"":""f27073a0c52f3860e400428df4bdfb2849b5d12f"",""sha256"":""821f084b72578a2c82c9c9812580974d07f414c1fc4ee83fc2f725fa324d5ee1""}"
C:\Windows\rgsvc.exe,EMBARGO,"{""md5"":""c06609a6b5747452b5e079e63f015d3c"",""sha1"":""326018a304ef232860e2fb9a3a6d6facb3530b49"",""sha256"":""184e89325b1d804455ce5191c22ea7e4dc29a2d40922c7f665bf3504970a9061""}"
C:\users\user\Downloads\RevoUninProSetup.exe,EMBARGO,"{""md5"":""cfa5dd4880cc8c0eb30ea6610af45ad3"",""sha1"":""37dedcedd352d6cfb0ea5dbb7069d017abe034e7"",""sha256"":""ac566d6b2caa415b1a9ed0774a3faf30385d5121578365a0c4b12e3dfd65b2a2""}"
